alternateErrorPagesEnabled,autofillAddressEnabled,autofillCreditCardEnabled,hyperlinkAuditingEnabled,networkPredictionEnabled,passwordSavingEnabled,referrersEnabled,safeBrowsingEnabled,safeBrowsingExtendedReportingEnabled,searchSuggestEnabled,spellingServiceEnabled,thirdPartyCookiesAllowed,translationServiceEnabled,NívelMaturidade
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,0,1,1,1,1,1,1,0,0,0,1,Médio
0,1,1,0,0,1,1,1,0,0,0,0,1,Médio
1,1,0,1,1,1,1,1,1,0,0,1,1,Médio
1,0,1,1,0,1,0,1,1,0,0,0,0,Conscientizado
1,1,0,1,1,0,1,1,0,1,0,1,1,Médio
1,1,0,1,1,1,1,1,1,0,0,1,1,Médio
0,1,1,0,0,1,1,1,0,0,0,0,1,Médio
0,0,0,0,0,1,0,1,1,1,1,1,1,Conscientizado
0,1,1,0,0,1,1,0,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
0,1,0,1,0,0,1,1,1,1,0,0,0,Conscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,0,1,1,1,1,1,1,0,0,1,1,Médio
1,1,0,1,1,1,1,1,1,0,0,1,1,Médio
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,0,1,1,0,1,0,1,1,0,0,0,0,Conscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
0,1,1,0,0,1,1,1,0,0,0,0,1,Médio
1,1,0,1,1,1,1,1,1,0,0,1,1,Médio
0,1,0,1,0,0,1,1,1,1,0,0,0,Conscientizado
1,1,1,1,1,1,1,1,1,1,0,1,1,Nãoconscientizado
0,1,1,1,1,1,1,1,0,1,0,1,0,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
0,1,1,0,0,1,1,1,0,0,0,0,1,Médio
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,1,1,0,1,1,Nãoconscientizado
0,1,0,1,0,0,1,1,1,1,0,0,0,Conscientizado
0,1,1,0,0,1,1,1,0,0,0,0,1,Médio
0,1,1,1,1,1,1,1,0,1,0,1,0,Nãoconscientizado
1,1,1,1,1,1,1,0,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,0,1,1,0,1,0,1,1,0,0,0,0,Conscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,0,1,1,1,1,1,0,1,0,0,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,0,1,1,0,1,0,1,1,0,0,0,0,Conscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
0,1,1,1,1,1,1,1,0,1,0,1,0,Nãoconscientizado
0,1,1,0,0,1,1,1,0,0,0,0,1,Médio
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,0,1,1,0,1,0,1,1,0,0,0,0,Conscientizado
0,1,0,1,0,0,1,1,1,1,0,0,0,Conscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,0,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,0,1,1,0,1,1,0,1,0,1,1,Médio
1,0,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,0,0,0,1,1,1,1,0,1,1,Médio
1,1,1,1,1,1,1,1,0,1,1,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,0,0,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,0,0,0,1,1,1,1,0,1,1,Médio
1,1,1,0,0,0,1,1,1,1,0,1,1,Médio
1,0,1,1,0,1,0,1,1,0,0,0,0,Conscientizado
0,1,1,1,1,1,1,1,0,1,0,1,0,Nãoconscientizado
1,1,1,1,1,1,1,0,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
0,1,1,1,1,1,1,1,0,1,0,1,0,Nãoconscientizado
1,0,0,1,1,1,1,1,0,0,0,1,0,Médio
1,1,1,1,1,1,1,1,0,1,0,1,1,Nãoconscientizado
0,1,1,1,1,1,1,1,0,1,0,1,0,Nãoconscientizado
